custom_id,input_token_estimate
two_stage_trust_punishment_y2hgu__e1_a_106,1210
two_stage_trust_punishment_y2hgu__e1_a_1183,1172
two_stage_trust_punishment_y2hgu__e1_a_1239,1174
two_stage_trust_punishment_y2hgu__e1_a_1278,1175
two_stage_trust_punishment_y2hgu__e1_a_1296,1160
two_stage_trust_punishment_y2hgu__e1_a_1322,1170
two_stage_trust_punishment_y2hgu__e1_a_1385,1210
two_stage_trust_punishment_y2hgu__e1_a_1466,1223
two_stage_trust_punishment_y2hgu__e1_a_1571,1226
two_stage_trust_punishment_y2hgu__e1_a_1611,1192
two_stage_trust_punishment_y2hgu__e1_a_1625,1204
two_stage_trust_punishment_y2hgu__e1_a_1700,1227
two_stage_trust_punishment_y2hgu__e1_a_174,1168
two_stage_trust_punishment_y2hgu__e1_a_1744,1191
two_stage_trust_punishment_y2hgu__e1_a_1884,1202
two_stage_trust_punishment_y2hgu__e1_a_1897,1206
two_stage_trust_punishment_y2hgu__e1_a_1903,1226
two_stage_trust_punishment_y2hgu__e1_a_198,1211
two_stage_trust_punishment_y2hgu__e1_a_1998,1178
two_stage_trust_punishment_y2hgu__e1_a_2056,1181
two_stage_trust_punishment_y2hgu__e1_a_2066,1176
two_stage_trust_punishment_y2hgu__e1_a_2089,1172
two_stage_trust_punishment_y2hgu__e1_a_2095,1209
two_stage_trust_punishment_y2hgu__e1_a_2106,1210
two_stage_trust_punishment_y2hgu__e1_a_2177,1215
two_stage_trust_punishment_y2hgu__e1_a_2195,1227
two_stage_trust_punishment_y2hgu__e1_a_2214,1163
two_stage_trust_punishment_y2hgu__e1_a_2331,1229
two_stage_trust_punishment_y2hgu__e1_a_2372,1216
two_stage_trust_punishment_y2hgu__e1_a_2414,1228
two_stage_trust_punishment_y2hgu__e1_a_2448,1191
two_stage_trust_punishment_y2hgu__e1_a_2459,1169
two_stage_trust_punishment_y2hgu__e1_a_2476,1174
two_stage_trust_punishment_y2hgu__e1_a_2558,1207
two_stage_trust_punishment_y2hgu__e1_a_28,1161
two_stage_trust_punishment_y2hgu__e1_a_284,1205
two_stage_trust_punishment_y2hgu__e1_a_379,1214
two_stage_trust_punishment_y2hgu__e1_a_397,1177
two_stage_trust_punishment_y2hgu__e1_a_428,1201
two_stage_trust_punishment_y2hgu__e1_a_501,1214
two_stage_trust_punishment_y2hgu__e1_a_543,1249
two_stage_trust_punishment_y2hgu__e1_a_56,1205
two_stage_trust_punishment_y2hgu__e1_a_582,1227
two_stage_trust_punishment_y2hgu__e1_a_744,1211
two_stage_trust_punishment_y2hgu__e1_a_748,1223
two_stage_trust_punishment_y2hgu__e1_a_752,1164
two_stage_trust_punishment_y2hgu__e1_a_909,1228
two_stage_trust_punishment_y2hgu__e1_a_92,1164
two_stage_trust_punishment_y2hgu__e1_a_971,1207
two_stage_trust_punishment_y2hgu__e1_a_983,1199
two_stage_trust_punishment_y2hgu__e1_a_1044,1218
two_stage_trust_punishment_y2hgu__e1_a_1189,1154
two_stage_trust_punishment_y2hgu__e1_a_1223,1174
two_stage_trust_punishment_y2hgu__e1_a_1270,1227
two_stage_trust_punishment_y2hgu__e1_a_1295,1198
two_stage_trust_punishment_y2hgu__e1_a_1309,1172
two_stage_trust_punishment_y2hgu__e1_a_1386,1238
two_stage_trust_punishment_y2hgu__e1_a_1459,1192
two_stage_trust_punishment_y2hgu__e1_a_1560,1220
two_stage_trust_punishment_y2hgu__e1_a_1621,1181
two_stage_trust_punishment_y2hgu__e1_a_1633,1214
two_stage_trust_punishment_y2hgu__e1_a_1716,1216
two_stage_trust_punishment_y2hgu__e1_a_1758,1167
two_stage_trust_punishment_y2hgu__e1_a_1759,1214
two_stage_trust_punishment_y2hgu__e1_a_1893,1219
two_stage_trust_punishment_y2hgu__e1_a_1901,1239
two_stage_trust_punishment_y2hgu__e1_a_1905,1174
two_stage_trust_punishment_y2hgu__e1_a_2050,1240
two_stage_trust_punishment_y2hgu__e1_a_2068,1164
two_stage_trust_punishment_y2hgu__e1_a_2191,1221
two_stage_trust_punishment_y2hgu__e1_a_2201,1215
two_stage_trust_punishment_y2hgu__e1_a_2243,1217
two_stage_trust_punishment_y2hgu__e1_a_2322,1172
two_stage_trust_punishment_y2hgu__e1_a_238,1183
two_stage_trust_punishment_y2hgu__e1_a_2411,1220
two_stage_trust_punishment_y2hgu__e1_a_2417,1170
two_stage_trust_punishment_y2hgu__e1_a_2447,1189
two_stage_trust_punishment_y2hgu__e1_a_2457,1161
two_stage_trust_punishment_y2hgu__e1_a_247,1174
two_stage_trust_punishment_y2hgu__e1_a_2483,1242
two_stage_trust_punishment_y2hgu__e1_a_2503,1184
two_stage_trust_punishment_y2hgu__e1_a_2552,1185
two_stage_trust_punishment_y2hgu__e1_a_2610,1166
two_stage_trust_punishment_y2hgu__e1_a_297,1215
two_stage_trust_punishment_y2hgu__e1_a_354,1177
two_stage_trust_punishment_y2hgu__e1_a_365,1198
two_stage_trust_punishment_y2hgu__e1_a_394,1220
two_stage_trust_punishment_y2hgu__e1_a_421,1157
two_stage_trust_punishment_y2hgu__e1_a_537,1148
two_stage_trust_punishment_y2hgu__e1_a_548,1146
two_stage_trust_punishment_y2hgu__e1_a_562,1157
two_stage_trust_punishment_y2hgu__e1_a_691,1227
two_stage_trust_punishment_y2hgu__e1_a_72,1169
two_stage_trust_punishment_y2hgu__e1_a_728,1200
two_stage_trust_punishment_y2hgu__e1_a_739,1162
two_stage_trust_punishment_y2hgu__e1_a_884,1207
two_stage_trust_punishment_y2hgu__e1_a_913,1219
two_stage_trust_punishment_y2hgu__e1_a_935,1167
two_stage_trust_punishment_y2hgu__e1_a_985,1248
two_stage_trust_punishment_y2hgu__e1_a_986,1208
two_stage_trust_punishment_y2hgu__e1_b_1049,1132
two_stage_trust_punishment_y2hgu__e1_b_1174,1085
two_stage_trust_punishment_y2hgu__e1_b_1220,1065
two_stage_trust_punishment_y2hgu__e1_b_1265,1068
two_stage_trust_punishment_y2hgu__e1_b_1271,1093
two_stage_trust_punishment_y2hgu__e1_b_1289,1154
two_stage_trust_punishment_y2hgu__e1_b_1343,1082
two_stage_trust_punishment_y2hgu__e1_b_1443,1134
two_stage_trust_punishment_y2hgu__e1_b_1551,1079
two_stage_trust_punishment_y2hgu__e1_b_1607,1096
two_stage_trust_punishment_y2hgu__e1_b_1630,1124
two_stage_trust_punishment_y2hgu__e1_b_1695,1137
two_stage_trust_punishment_y2hgu__e1_b_1735,1090
two_stage_trust_punishment_y2hgu__e1_b_1739,1136
two_stage_trust_punishment_y2hgu__e1_b_1890,1095
two_stage_trust_punishment_y2hgu__e1_b_1899,1121
two_stage_trust_punishment_y2hgu__e1_b_190,1113
two_stage_trust_punishment_y2hgu__e1_b_2065,1074
two_stage_trust_punishment_y2hgu__e1_b_2083,1069
two_stage_trust_punishment_y2hgu__e1_b_2187,1161
two_stage_trust_punishment_y2hgu__e1_b_2193,1118
two_stage_trust_punishment_y2hgu__e1_b_2227,1139
two_stage_trust_punishment_y2hgu__e1_b_2304,1084
two_stage_trust_punishment_y2hgu__e1_b_2351,1140
two_stage_trust_punishment_y2hgu__e1_b_239,1138
two_stage_trust_punishment_y2hgu__e1_b_2390,1063
two_stage_trust_punishment_y2hgu__e1_b_2409,1159
two_stage_trust_punishment_y2hgu__e1_b_2429,1134
two_stage_trust_punishment_y2hgu__e1_b_2437,1092
two_stage_trust_punishment_y2hgu__e1_b_2449,1117
two_stage_trust_punishment_y2hgu__e1_b_2475,1109
two_stage_trust_punishment_y2hgu__e1_b_2520,1107
two_stage_trust_punishment_y2hgu__e1_b_2599,1155
two_stage_trust_punishment_y2hgu__e1_b_2617,1131
two_stage_trust_punishment_y2hgu__e1_b_32,1124
two_stage_trust_punishment_y2hgu__e1_b_341,1062
two_stage_trust_punishment_y2hgu__e1_b_364,1134
two_stage_trust_punishment_y2hgu__e1_b_402,1065
two_stage_trust_punishment_y2hgu__e1_b_515,1061
two_stage_trust_punishment_y2hgu__e1_b_534,1113
two_stage_trust_punishment_y2hgu__e1_b_559,1074
two_stage_trust_punishment_y2hgu__e1_b_707,1109
two_stage_trust_punishment_y2hgu__e1_b_747,1118
two_stage_trust_punishment_y2hgu__e1_b_75,1087
two_stage_trust_punishment_y2hgu__e1_b_754,1077
two_stage_trust_punishment_y2hgu__e1_b_88,1123
two_stage_trust_punishment_y2hgu__e1_b_930,1075
two_stage_trust_punishment_y2hgu__e1_b_970,1086
two_stage_trust_punishment_y2hgu__e1_b_976,1064
two_stage_trust_punishment_y2hgu__e1_b_993,1126
two_stage_trust_punishment_y2hgu__e1_b_1050,1133
two_stage_trust_punishment_y2hgu__e1_b_1175,1108
two_stage_trust_punishment_y2hgu__e1_b_1237,1165
two_stage_trust_punishment_y2hgu__e1_b_128,1101
two_stage_trust_punishment_y2hgu__e1_b_1288,1106
two_stage_trust_punishment_y2hgu__e1_b_1298,1098
two_stage_trust_punishment_y2hgu__e1_b_1369,1155
two_stage_trust_punishment_y2hgu__e1_b_146,1092
two_stage_trust_punishment_y2hgu__e1_b_1579,1125
