text,umap_x,umap_y,cluster_id,cluster_title,cluster_intro,cluster_size
"They never use punishment at all, despite repeated and salient opportunities and despite the presence of clear low contributors and a powerful, high-leverage punishment technology. They also see other players frequently using punishment (in particular against a chronically low-contributing target), yet they neither join in nor imitate this behavior. This suggests a very high threshold for punishing; either they avoid harming others on principle, or they reject the cost of sanctioning as an acceptable tool, even when it would be efficient or group-beneficial. There is no sign of retaliatory punishment, as they are never punished themselves and never punish in return. There is also no sign of using punishment strategically for deterrence or norm enforcement; they do not appear to try to shape others’ contributions through negative incentives. Overall, they present as a non-punisher with strong reluctance to impose costs on others, even on clear free riders.",-1.2676471,0.3052571,2,Punishment / Non / Punishing,"This cluster groups personas with related strategy patterns around punishment, non, punishing, use, low.",115
"They never use punishment, despite having multiple opportunities and a clear pattern that one specific partner targets them with costly sanctions. This indicates a very high threshold for imposing costs on others and a strong reluctance to spend personal resources for either deterrence or retaliation. Their behavior does not show targeted or proportional sanctions toward lower contributors, nor retaliation against someone who persistently punishes them. From this, it is reasonable to infer that they either (a) view punishment as inefficient or not worth the cost, (b) are conflict-averse and prefer not to escalate, or (c) are focused on maximizing own payoff without engaging in norm enforcement. Because they themselves are consistently under the group’s contribution norm, it is also plausible that they recognize their own vulnerability and avoid a punishment “war”; however, this is uncertain. Overall, they function as a non-enforcer type: they free-ride somewhat on the norm-enforcement efforts of others without joining those efforts.",-0.6333521,-0.29250306,5,Punishment / Non / Use,"This cluster groups personas with related strategy patterns around punishment, non, use, low, norm.",121
"This player never uses punishment, despite repeated opportunities and clear variation in others’ contribution levels, including occasional low contributions by peers and visible use of punishment by others. Their inaction persists regardless of whether some players contribute less than the group norm or whether punishment might have been effective at disciplining a specific target. This suggests a strong reluctance to incur personal costs to harm others, even for potential norm enforcement. They do not appear motivated by retaliation, do not mimic others’ punitive strategies, and do not engage in second-order punishment (punishing non-punishers). The pattern is consistent with a non-punitive, harm-averse type that prefers to let the contribution structure “speak for itself” rather than enforcing norms through costly sanctions. Whether this is due to moral discomfort with harming others, skepticism about the effectiveness of punishment, or simple self-interest in avoiding costs remains unknown.",-1.321315,0.7454992,2,Punishment / Non / Punishing,"This cluster groups personas with related strategy patterns around punishment, non, punishing, use, low.",115
"This player uses punishment actively but very selectively, focusing almost exclusively on a single target. They are clearly willing to incur personal costs to reduce another’s payoff, and they escalate the intensity over time. The target is not the lowest contributor in the group; instead, it is a consistent moderate contributor who tends to earn relatively high payoffs. The focal player does not punish other moderate or low contributors who play similarly, nor do they punish high contributors, indicating that they are not using punishment as a general tool to enforce uniform high contributions. Their pattern is consistent with a personalized, norm‑enforcing or expressive motive toward that specific player: “you, in particular, should not be allowed to keep doing this.” The repeated focus and occasional escalation suggest they are trying to influence that player’s behavior or reduce an outcome they see as unfair, rather than simply venting once. The absence of punishment toward anyone else, even when they contribute similarly, shows high selectivity and some internal rule about who “deserves” sanctions. There is no evidence of retaliatory punishment, because the focal player is never punished by others. Accordingly, their punishment motive cannot be described as revenge‑driven. Instead, it appears mixed: partly inequity aversion (dislike of that player’s relatively favorable payoff position given their contributions), and partly a desire to deter that player from continuing a pattern the focal player finds objectionable. They are willing to spend substantial cumulative resources on punishment, even when it reduces their own payoff noticeably, which indicates that enforcing their perceived fairness standard can override short‑term self‑interest. At the same time, they eventually discontinue punishing once the target’s contributions and the overall group pattern become stable and acceptable to them, suggesting some capacity to “declare victory” or at least to stop escalating indefinitely.",0.93385524,0.6758259,13,Punishment / Punish / Contributors,"This cluster groups personas with related strategy patterns around punishment, punish, contributors, norm, low.",148
"This player never uses punishment despite ample opportunities and a relatively efficient punishment technology. They refrain from punishing both persistent low contributors and those who impose heavy sanctions on others. This suggests a strong aversion to costly sanctions, whether for normative enforcement or retaliation. The absence of any “moralistic” punishment, even when some players clearly contribute less or when one player repeatedly targets a specific low contributor with escalating sanctions, implies that this player either does not feel responsible for enforcing fairness or doubts that punishment is worthwhile. Their behavior is consistent with a “live and let live” stance: they accept payoff differences and let others bear the cost of policing. There is no evidence of targeted or strategic deterrence; they do not punish in early rounds to shape behavior, nor later in response to persistent patterns. Personality-wise, this points to conflict avoidance and low taste for confrontation, even when it could be individually or collectively beneficial. If they consider the efficiency of punishment at all, they appear to judge the personal cost as not worth the expected benefits, or they simply avoid negative actions as a rule.",-1.1012093,1.5750663,4,Punishment / Free / Non,"This cluster groups personas with related strategy patterns around punishment, free, non, norm, low.",112
"They never use punishment despite the tool being powerful and relatively cost‑effective. This holds even when some peers contribute noticeably less or when defectors are clearly earning higher payoffs. Their nonuse appears systematic rather than situational: even in environments where a strategic punisher might try to discipline low contributors or retaliate against free riders, they refrain. This suggests either a principled aversion to harming others, skepticism about the long‑term value of punishment, or a preference to let others bear any enforcement role. There is no evidence that they use punishment for either deterrence or retaliation. Their strategy seems to omit punishment entirely, not even as a late‑game or last‑resort tool. Overall, they are a non‑punishing cooperator.",-1.5895619,-0.58684325,0,Punishment / Use / Non,"This cluster groups personas with related strategy patterns around punishment, use, non, use punishment, low.",142
"The player uses punishment sparingly and selectively. They mostly refrain from punishing, even when others contribute less than they do, implying that they do not have a strong, automatic drive to sanction all norm violators. When they do spend on punishment, it appears targeted rather than diffuse; they are willing to incur a nontrivial cost to impose significant deductions on specific individuals. This indicates that they view punishment as a tool for either enforcing norms or expressing disapproval, not as something to deploy routinely. Because they punish in only a minority of opportunities, and only after having experienced notable deductions themselves, their motive is ambiguous between norm enforcement and retaliation. There is some indication that punishment is tied to frustration with particular partners rather than pure concern for group efficiency. They do not escalate into repeated or large punishment campaigns, suggesting limits to vindictiveness and a preference to contain conflict. They also do not use punishment to reward or protect high contributors (as reward is unavailable and they do not “counter‑punish” low punishers), so their sanctioning is focused on negative behavior, not on building alliances. Overall, they are a reluctant punisher who intervenes occasionally when provoked or when inequities become salient.",0.8881285,-0.98484266,11,Punishment / Punish / Low,"This cluster groups personas with related strategy patterns around punishment, punish, low, norm, use.",104
"The player is a frequent and relatively heavy user of punishment, willing to incur substantial personal costs to sanction others across many stages of the game. Punishment is not confined to clear, extreme free‑riders: they also punish in contexts where others appear highly cooperative, implying that their criteria for sanctioning are broader than simply “very low contributors.” It is plausible (but not certain) that they target specific individuals whose contributions they perceive as systematically lower or norm‑violating relative to others in the same round, rather than indiscriminately sanctioning everyone. However, there is at least one phase in which they refrain from punishing despite the presence of conspicuously low contributions, which suggests their use of punishment is selective and contextual, not automatic. The repeated willingness to spend more than the minimum on punishment indicates an enforcement‑oriented mindset: they seem to treat punishment as a tool to shape others’ behavior or to express disapproval, rather than as a last‑resort, purely payoff‑maximizing decision. Whether they aim primarily at efficiency (deterrence) or at expressing frustration/resentment is unknown. Given the presence of pro‑social and anti‑social punishment both being common in such environments, and since they sometimes punish when they themselves are relatively low contributors, they may engage in both norm enforcement and competitive/hostile punishment at different times. Overall, they are a punishment‑prone, non‑pacifist player who accepts efficiency losses to influence others.",1.4239054,-1.3056378,11,Punishment / Punish / Low,"This cluster groups personas with related strategy patterns around punishment, punish, low, norm, use.",104
"The player is willing to use costly punishment selectively. They do not punish every deviation, but they do sometimes pay to impose deductions. Given that punishment is costly and relatively powerful, their occasional use suggests they value norm enforcement or retaliation enough to sacrifice payoff at times. The timing of their punishment choices is consistent with responding to perceived unfairness or norm violations rather than punishing randomly. They do not appear to be a relentless enforcer; they leave some low or zero contributions unpunished, implying some threshold before they act—possibly when they see either particularly stark under‑contribution relative to others or a pattern they interpret as intentional exploitation. Their punishment behavior is infrequent enough that they are not spiteful or punishment‑focused by default; instead, they resemble a conditional punisher who intervenes when cooperation is threatened or when they feel clearly wronged. Whether they aim mainly at deterrence (to improve future group contributions) or at expressing disapproval/retaliation is uncertain, but the fact that punishment appears even when they themselves have not been heavily exploited by the target suggests at least some norm‑enforcing motive, not purely self‑protection. Overall, they are a moderate, selective punisher with a fairness and reciprocity orientation.",0.8488073,-0.634491,14,Punishment / Punish / Norm,"This cluster groups personas with related strategy patterns around punishment, punish, norm, low, contributors.",142
"The player never uses the punishment option, despite having multiple opportunities and facing both low-contributing peers and personal deductions imposed by others. They consistently refrain from spending on sanctions even when there are clear “targets” (e.g., low contributors or evident punishers). This pattern indicates a strong reluctance to engage in costly punishment. They appear unwilling to trade off their own payoff to enforce norms, and there is no behavioral sign of using punishment for deterrence, retaliation, or norm expression. Their strategy treats the punishment technology as effectively irrelevant or too costly relative to its benefits. Given the absence of any punishing action, underlying motives remain uncertain: they might disapprove of costly sanctions on moral grounds, doubt their effectiveness, or simply prioritize personal earnings. All of these remain speculative; the only robust inference is that they are a non-punisher even under provocation.",-0.9406434,-1.0889152,1,Punishment / Non / Use,"This cluster groups personas with related strategy patterns around punishment, non, use, use punishment, low.",113
