custom_id,estimated_input_chars,estimated_input_tokens_char4
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_5mhtM66ewYHNxSp4q__p001__g001,7953,1988
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_2TquMDieEiixty8AN__p001__g002,10881,2720
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_65crAkEscRbHNJXbW__p001__g003,7661,1915
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_3EG5RaDj4z7hkT2JD__p001__g004,8294,2074
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_PmcxhmDRj2tN3cECC__p001__g005,19065,4766
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_925LF9k9CXpz8KjQm__p001__g006,24534,6134
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_ASQtYBWx6cGN27KxL__p001__g007,9521,2380
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_DYFJDsdGg8bppBJ7P__p001__g008,10350,2588
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_CbDvrXGkphmfGtH3G__p001__g009,16556,4139
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_FvbM5EM5aB5pcjLpA__p001__g010,13478,3370
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_C5Cd8Yq5dDbdycXKB__p001__g011,11111,2778
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_AyQkFs97hRTki5zWR__p001__g012,12218,3054
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_7oRFMBwqmesGX7t3H__p001__g013,19378,4844
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_fMhhGrfpZH9ign2AK__p001__g014,13028,3257
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_i7C4Y4NiesraiSwwb__p001__g015,11312,2828
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_7tfDsTHHnxsgrhE3d__p001__g016,13705,3426
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_r7Bk7fEwX3HSRrXMZ__p001__g017,8929,2232
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_7FQezekfKk3zctLN8__p001__g018,15084,3771
