question_ref,question_id,block_name,question_type,family,csv_columns_json,n_csv_columns,profile_section,profile_subsection,retention_mode,derived_targets,readable_card_priority,question_text_short,notes
Absolute vs. relative - calculator::QID183,QID183,Absolute vs. relative - calculator,MC,other,"[""QID183""]",1,observed_in_twin,heuristics_and_biases,raw_plus_block_summary,decision_style;derived_dimensions.decision_style;derived_dimensions.consumer_style,medium,Imagine that you go to purchase a calculator for $30. The calculator salesperson informs you that the calculator you wish to buy is on sale for $20 at the other branch of the store,Scenario-based heuristics/biases evidence. Use for decision-style summaries and a few diagnostic examples.
Absolute vs. relative - jacket::QID184,QID184,Absolute vs. relative - jacket,MC,other,"[""QID184""]",1,observed_in_twin,heuristics_and_biases,raw_plus_block_summary,decision_style;derived_dimensions.decision_style;derived_dimensions.consumer_style,medium,Imagine that you go to purchase a jacket for $250. The jacket salesperson informs you that the jacket you wish to buy is on sale for $240 at the other branch of the store which is ,Scenario-based heuristics/biases evidence. Use for decision-style summaries and a few diagnostic examples.
Allais Form 1::QID192,QID192,Allais Form 1,MC,heuristics_biases,"[""QID192""]",1,observed_in_twin,heuristics_and_biases,raw_plus_block_summary,decision_style;derived_dimensions.decision_style;derived_dimensions.consumer_style,medium,Choose between:,Scenario-based heuristics/biases evidence. Use for decision-style summaries and a few diagnostic examples.
Allais Form 2::QID193,QID193,Allais Form 2,MC,heuristics_biases,"[""QID193""]",1,observed_in_twin,heuristics_and_biases,raw_plus_block_summary,decision_style;derived_dimensions.decision_style;derived_dimensions.consumer_style,medium,Choose between:,Scenario-based heuristics/biases evidence. Use for decision-style summaries and a few diagnostic examples.
Anchoring - African countries high::QID165,QID165,Anchoring - African countries high,MC,heuristics_biases,"[""QID165""]",1,observed_in_twin,heuristics_and_biases,raw_plus_block_summary,decision_style;derived_dimensions.decision_style;derived_dimensions.consumer_style,medium,Do you think there are more or fewer than 65 African countries in the United Nations?,Scenario-based heuristics/biases evidence. Use for decision-style summaries and a few diagnostic examples.
Anchoring - African countries high::QID166,QID166,Anchoring - African countries high,TE,heuristics_biases,"[""QID166_TEXT""]",1,observed_in_twin,heuristics_and_biases,raw_plus_block_summary,decision_style;derived_dimensions.decision_style;derived_dimensions.consumer_style,medium,How many African countries do you think are in the United Nations?,Scenario-based heuristics/biases evidence. Use for decision-style summaries and a few diagnostic examples.
Anchoring - African countries low::QID163,QID163,Anchoring - African countries low,MC,heuristics_biases,"[""QID163""]",1,observed_in_twin,heuristics_and_biases,raw_plus_block_summary,decision_style;derived_dimensions.decision_style;derived_dimensions.consumer_style,medium,Do you think there are more or fewer than 12 African countries in the United Nations?,Scenario-based heuristics/biases evidence. Use for decision-style summaries and a few diagnostic examples.
Anchoring - African countries low::QID164,QID164,Anchoring - African countries low,TE,heuristics_biases,"[""QID164_TEXT""]",1,observed_in_twin,heuristics_and_biases,raw_plus_block_summary,decision_style;derived_dimensions.decision_style;derived_dimensions.consumer_style,medium,How many African countries do you think are in the United Nations?,Scenario-based heuristics/biases evidence. Use for decision-style summaries and a few diagnostic examples.
Anchoring - redwood high::QID169,QID169,Anchoring - redwood high,MC,heuristics_biases,"[""QID169""]",1,observed_in_twin,heuristics_and_biases,raw_plus_block_summary,decision_style;derived_dimensions.decision_style;derived_dimensions.consumer_style,medium,Is the tallest redwood tree in the world more or less than 1000 feet tall?,Scenario-based heuristics/biases evidence. Use for decision-style summaries and a few diagnostic examples.
Anchoring - redwood high::QID170,QID170,Anchoring - redwood high,TE,heuristics_biases,"[""QID170_TEXT""]",1,observed_in_twin,heuristics_and_biases,raw_plus_block_summary,decision_style;derived_dimensions.decision_style;derived_dimensions.consumer_style,medium,How tall do you think the tallest redwood tree in the world is? Enter a number of feet.,Scenario-based heuristics/biases evidence. Use for decision-style summaries and a few diagnostic examples.
